ID,SB,RB,PA,AP,Ca-Pi ,NaOH-Po ,MBP,RLD,SRL,MC,ALPA,TOAA
aCO2-1,544,143,0.60882,7.24,84.4,13.4,17.4,320.32,2.24,42.1,8.12,19.6373057
aCO2-2,537,142,0.56241,6.56,87.5,11.5,19.2,268.38,1.89,38.7,7.47,19.77547496
aCO2-3,601,155,0.63232,7.02,79.4,13.6,16.5,348.75,2.25,41.5,8.55,19.79274611
aCO2-4,512,129,0.54412,6.43,88.2,11.4,14.3,227.04,1.76,35.4,7.12,17.68566494
aCO2-5,559.3333333,157,0.581790556,6.12,76.3,11.6,18.1,291.12,2.31,42.5,7.03,19.62003454
aCO2-6,544,141,0.58808,7.01,81.5,14.2,16.4,287.64,2.04,36.4,6.88,17.80656304
eCO2-1,651,162,0.83541,7.41,71.5,10.4,24,341.82,2.11,46.4,10.22,25.77736891
eCO2-2,655,161,0.7595,7.22,62.2,9.8,21.5,301.07,1.87,47.8,11.35,25.53817847
eCO2-3,695,168,0.71995,8.11,72.3,8.7,24.6,378,2.25,32.1,9.74,27.17571297
eCO2-4,733,174,0.77869,7.77,70.9,7.8,27.8,334.08,1.92,48.5,11.15,26.43054278
eCO2-5,672.3333333,166,0.735746111,8.14,67.5,8.9,19.2,371.84,2.24,33.2,9.48,25.5473781
eCO2-6,667,178,0.73607,7.56,69.8,9.1,22.867,412.96,2.32,47.9,10.22,24.36982521
